CycID,BH.Q,PER,M_ZT0,M_ZT0.1,M_ZT0.2,M_ZT4,M_ZT4.1,M_ZT4.2,M_ZT8,M_ZT8.1,M_ZT8.2,M_ZT12,M_ZT12.1,M_ZT12.2,M_ZT16,M_ZT16.1,M_ZT16.2,M_ZT20,M_ZT20.1,M_ZT20.2,gene_product,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP000104-RA,1.17E-04,24,4620,5532,6762,3124,1815,4456,1544,1950,2326,933,888,829,2521,3004,2602,3663,2899,3224,unspecified product ,GO:0005246, GO:0016021, GO:0016020, GO:0016021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP002505-RA,0.029078823,16,546,733,888,488,420,635,612,656,1020,1076,918,805,745,721,1175,847,528,594,"voltage-dependent calcium channel alpha 1, invertebrate ",GO:0005248, GO:0005261, GO:0008332, GO:0019228, GO:0070509, GO:0086010, GO:0001518, GO:0005886, GO:0043005, GO:0005891, GO:0005245, GO:0016020, GO:0055085, GO:0006811, GO:0005216, GO:0070588, GO:0005216, GO:0005245, GO:0006811, GO:0055085, GO:0070588, GO:0005891, GO:0016020, GO:0016020, GO:0016021, GO:0034220, GO:0035725, GO:0070588, GO:0005261, GO:0005886,,,,,,,
AGAP000254-RA,0.02253974,16,715.44,973.201,834.864,606.588,512.443,749.515,708.97,920.926,1148.46,1363.2,1385.98,1100.73,931.765,1034.21,1348.09,1006.96,569.521,799.02,potassium voltage-gated channel Shaker-related subfamily A ,GO:0005249, GO:0005251, GO:0071805, GO:0008076, GO:0016021, GO:0034765, GO:0008076, GO:0005249, GO:0016020, GO:0055085, GO:0006811, GO:0005216, GO:0006813, GO:0005216, GO:0005244, GO:0005249, GO:0005267, GO:0006811, GO:0006811, GO:0006813, GO:0006813, GO:0034765, GO:0055085, GO:0071805, GO:0008076, GO:0016020, GO:0016020, GO:0016021, GO:0051260,,,,,,,,
AGAP029240-RB,0.013521275,20,315.059,354.817,638.248,292.099,219.587,530.895,437.767,444.629,519.214,712.149,571.357,492.46,487.181,565.294,757.118,474.865,313.727,377.857,unspecified product ,GO:0005249, GO:0005251, GO:0071805, GO:0008076, GO:0016021, GO:0030424, GO:0032590, GO:0032809, GO:0043025, GO:0051260, GO:0034765, GO:0008076, GO:0005249, GO:0016020, GO:0055085, GO:0006811, GO:0005216, GO:0006813, GO:0005515, GO:0005216, GO:0005244, GO:0005249, GO:0005267, GO:0006811, GO:0006811, GO:0006813, GO:0006813, GO:0034765, GO:0051260, GO:0055085, GO:0071805, GO:0008076, GO:0016020, GO:0016020, GO:0016021, GO:0051260, 
AGAP010205-RA,0.001007748,24,928,954,1886,860,540,1119,702,699,1118,439,182,399,757,586,617,1204,483,1120,unspecified product ,GO:0005254, GO:0007165, GO:0007268, GO:0034220, GO:0042391, GO:0050877, GO:1902476, GO:0005887, GO:0043005, GO:0045202, GO:0016021, GO:0005230, GO:0004888, GO:0006811, GO:0034220, GO:0005216, GO:0004888, GO:0005216, GO:0005230, GO:0006811, GO:0034220, GO:0016020, GO:0016021, GO:0016021,,,,,,,,,,,,,
AGAP012975-RA,5.38E-04,24,1025,1071,1312,669,442,815,583,760,831,387,343,379,775,791,772,1231,772,938,histamine-gated chloride channel subunit ,GO:0005254, GO:0007165, GO:0007268, GO:0034220, GO:0042391, GO:0050877, GO:1902476, GO:0005887, GO:0043005, GO:0045202, GO:0005230, GO:0004888, GO:0016021, GO:0006811, GO:0034220, GO:0005216, GO:0004888, GO:0005216, GO:0005230, GO:0006811, GO:0006811, GO:0034220, GO:0016020, GO:0016021, GO:0016021,,,,,,,,,,,,
AGAP011349-RA,0.006235544,20,29,48,51,44,29,36,46,41,70,84,60,51,68,51,57,39,22,30,GABA-gated chloride channel ,GO:0005254, GO:0007165, GO:0007268, GO:0034220, GO:0042391, GO:0050877, GO:1902476, GO:0005887, GO:0043005, GO:0045202, GO:0005254, GO:0016021, GO:0005230, GO:0004888, GO:0005886, GO:0006811, GO:0034220, GO:0005216, GO:0004888, GO:0005216, GO:0005230, GO:0006811, GO:0006811, GO:0034220, GO:0005886, GO:0016020, GO:0016021, GO:0016021,,,,,,,,,
AGAP029593-RA,0.01040207,24,926,1105.99,1614,1418,852.993,2066.99,1357,2028.99,2005,1904,1746.99,1405.99,1593,1275.99,1117,1703,905.995,1290.99,unspecified product ,GO:0005262, GO:0008273, GO:0006874, GO:0070588, GO:0005887, GO:0015297, GO:0006816, GO:0016021, GO:0055085, GO:0055085, GO:0016020, GO:0016021, GO:0016021, GO:0005432, GO:0006816, GO:0035725, GO:0071805, GO:0098656, GO:0005623, GO:0016020,,,,,,,,,,,,,,,,,
AGAP007992-RA,0.029078823,20,2023,3144,3793,1985,1468,2861,2684,3199,3794,3935,3514,2506,3509,3408,4343,3971,2286,2722,Vesicular glutamate transporter 2 ,GO:0005313, GO:0005326, GO:0022857, GO:0006820, GO:0035249, GO:0050803, GO:0098700, GO:0016021, GO:0030285, GO:0030672, GO:0060076, GO:0022857, GO:0016021, GO:0055085, GO:0055085, GO:0016020, GO:0016021, GO:0015813,,,,,,,,,,,,,,,,,,,
AGAP013333-RA,0.006235544,20,5982.54,7103.11,9855.66,7752.61,4654.07,11305,7644.87,10460.2,10720.5,7373.56,7575.11,8319.63,7618.58,7496.01,7717.97,8599.17,7181.92,8002.1,"Phosphate carrier, mitochondrial ",GO:0005315, GO:0031305, GO:0035435, GO:0005315, GO:0035435, GO:0031305, GO:1990547, GO:0005315, GO:0016020, GO:0016021,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP008369-RA,0.02253974,24,120,211,410,168,47,467,74,92,138,45,81,96,97,123,89,222,107,308,unspecified product ,GO:0005319, GO:0005319, GO:0006869, GO:0005319, GO:0006869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP007504-RA,0.02253974,24,52,62,82,45,47,75,40,44,40,37,45,48,93,108,132,124,120,69,ATP-binding cassette transporter (ABC transporter) family A member 3 ,GO:0005319, GO:0042626, GO:0006869, GO:0043231, GO:0140359, GO:0016021, GO:0005524, GO:0055085, GO:0000166, GO:0005524, GO:0005524, GO:0016887, GO:0042626, GO:0055085, GO:0016020, GO:0016021, GO:0016021,,,,,,,,,,,,,,,,,,,,
AGAP004476-RA,0.02253974,16,1890,2178,2533,1712,1181,2357,2197,2404,2825,2925,2404,2264,2652,2423,2501,3070,1899,2410,"solute carrier family 18 (vesicular monoamine), member 2 ",GO:0005335, GO:0030672, GO:0022857, GO:0015842, GO:0043195, GO:0005335, GO:0008504, GO:0022857, GO:0006836, GO:0015842, GO:0030672, GO:0043195, GO:0022857, GO:0016021, GO:0055085, GO:0015844, GO:0051610, GO:0055085, GO:0016020, GO:0016021,,,,,,,,,,,,,,,,,
AGAP005989-RA,0.017446449,20,19,9,16,27,20,34,22,47,55,32,82,36,14,44,27,29,18,16,concentrative nucleoside transporter 2 ,GO:0005337, GO:0005415, GO:1901642, GO:0005887, GO:0005337, GO:0016021, GO:0016020, GO:1901642, GO:0005337, GO:1901642, GO:0016020, GO:0016020, GO:0016021,,,,,,,,,,,,,,,,,,,,,,,,
AGAP011062-RB,0.017446449,20,381.45,253.933,425.892,236.283,78.4732,241.303,131.276,211.409,251.14,154.282,110.894,183.389,372.653,262.98,272.754,382.462,248.506,346.992,GLOBIN domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q2MCN9] ,GO:0005344, GO:0019825, GO:0020037, GO:0046872, GO:0005344, GO:0019825, GO:0020037, GO:0046872, GO:0005344, GO:0019825, GO:0020037, GO:0046872,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP006508-RB,1.76E-04,24,205.778,315.592,388.666,188.992,161.936,326.392,217.165,196.063,354.971,1141,923.515,709.446,2014.16,2394.09,2665.26,1964.49,1480.88,2070.93,small calcium-binding mitochondrial carrier protein 3 ,GO:0005347, GO:0005347, GO:0055085, GO:0005509, GO:0016021, GO:0005743, GO:0005509, GO:0022857, GO:0015867, GO:0055085, GO:0016020, GO:0016021, GO:0005743, GO:0055085, GO:0016021, GO:0022857, GO:0055085, GO:0005743, GO:0016020, GO:0016021,,,,,,,,,,,,,,,,,
AGAP005563-RA,0.02253974,24,568.398,897.84,1006.18,683.46,517.998,1235.69,1474.11,2221.66,1834.82,1479.22,2410.04,2795.58,1022.31,1974.19,1119.18,956.541,1392,1390,facilitated trehalose transporter Tret1 ,GO:0005351, GO:0015574, GO:0015771, GO:0046323, GO:0005886, GO:0005887, GO:0005886, GO:0051119, GO:0016021, GO:0016020, GO:0055085, GO:0022857, GO:0022857, GO:0008643, GO:0034219, GO:0055085, GO:1902600, GO:0005886, GO:0016020, GO:0016020, GO:0016021, GO:0016021, GO:0008643, GO:0016021, GO:0016020, GO:0055085, GO:0022857, GO:0051119, GO:0008643,,,,,,,,
AGAP003492-RA,0.037253837,20,300.657,365.442,743.448,454.943,325.417,648.324,601.492,830.851,702.945,558.192,769.018,632.18,376.801,467.579,430.763,498.759,526.943,543.556,facilitated glucose transporter (solute carrier family 2) ,GO:0005351, GO:0046323, GO:0005887, GO:0051119, GO:0016021, GO:0005886, GO:0016020, GO:0055085, GO:0022857, GO:0022857, GO:0034219, GO:0055085, GO:1902600, GO:0016020, GO:0016020, GO:0016021, GO:0016021, GO:0008643, GO:0016021, GO:0005886, GO:0051119, GO:0016020, GO:0055085, GO:0022857, GO:0022857, GO:0055085, GO:0016020, GO:0016020, GO:0016021, GO:0016021, GO:0008643, GO:0016021, GO:0005886, GO:0051119, GO:0016020, GO:0055085, 
AGAP009745-RA,5.38E-04,20,480,676,1024,350,236,430,223,247,263,359,432,490,601,597,525,632,561,637,Sugar transporter ERD6-like 4 ,GO:0005351, GO:0046323, GO:0005887, GO:0022857, GO:0016021, GO:0016020, GO:0055085, GO:0022857, GO:0055085, GO:0016020, GO:0016020, GO:0016021, GO:0016021, GO:0034219, GO:1902600,,,,,,,,,,,,,,,,,,,,,,
AGAP005563-RB,0.01040207,20,379.602,496.16,536.816,458.54,304.002,776.305,285.894,693.339,654.179,363.78,375.963,261.422,175.687,347.812,301.816,566.459,552.999,427.997,facilitated trehalose transporter Tret1 ,GO:0005351, GO:0015574, GO:0015771, GO:0046323, GO:0005886, GO:0005887, GO:0005886, GO:0051119, GO:0016021, GO:0016020, GO:0055085, GO:0022857, GO:0022857, GO:0008643, GO:0034219, GO:0055085, GO:1902600, GO:0005886, GO:0016020, GO:0016020, GO:0016021, GO:0016021, GO:0008643, GO:0016021, GO:0016020, GO:0055085, GO:0022857, GO:0051119, GO:0008643,,,,,,,,
AGAP007667-RA,2.63E-04,24,146,154,269,194,116,296,303,357,335,656,514,447,653,474,646,521,277,352,sugar transporter ERD6-like 4 ,GO:0005351, GO:0046323, GO:0005887, GO:0051119, GO:0016021, GO:0005886, GO:0016020, GO:0055085, GO:0022857, GO:0022857, GO:0034219, GO:0055085, GO:1902600, GO:0016020, GO:0016020, GO:0016021, GO:0016021, GO:0008643,,,,,,,,,,,,,,,,,,,
AGAP012218-RA,0.037253837,20,181.56,224.725,233.598,90.6769,91.8841,147,62,158.861,128.853,105.78,141.398,197.57,218,216.604,227.674,201.354,161.349,226.232,sugar transporter ERD6-like 6 ,GO:0005351, GO:0046323, GO:0005887, GO:0022857, GO:0016021, GO:0055085, GO:0022857, GO:0034219, GO:0055085, GO:1902600, GO:0016020, GO:0016021, GO:0016021,,,,,,,,,,,,,,,,,,,,,,,,
AGAP003493-RC,0.006235544,24,77.5642,111.218,146.693,132.635,60.4377,275.817,278.259,221.991,251.817,294.389,106.208,177.603,201.275,126.133,173.903,109.058,63.3608,92.1124,sugar transporter ERD6-like 6 ,GO:0005351, GO:0046323, GO:0005887, GO:0005351, GO:0046323, GO:0005887, GO:0005351, GO:0046323, GO:0005887, GO:0005351, GO:0046323, GO:0005887, GO:0016021, GO:0005886, GO:0051119, GO:0016020, GO:0055085, GO:0022857, GO:0022857, GO:0034219, GO:0055085, GO:1902600, GO:0016020, GO:0016020, GO:0016021, GO:0016021, GO:0008643, GO:0016021, GO:0005886, GO:0051119, GO:0016020, GO:0055085, GO:0022857, GO:0022857, GO:0034219, GO:0055085, 
AGAP011680-RA,0.001971123,24,50,49,103,101,60,183,249,269,434,264,193,303,91,92,133,83,41,172,facilitated glucose transporter (solute carrier family 2) ,GO:0005351, GO:0046323, GO:0005887, GO:0022857, GO:0016021, GO:0016020, GO:0055085, GO:0022857, GO:0055085, GO:0016020, GO:0016020, GO:0016021, GO:0016021, GO:0034219, GO:1902600,,,,,,,,,,,,,,,,,,,,,,
AGAP001027-RC,0.048019251,20,35.3272,21.0597,65.7173,29.7778,57.4864,66.2044,43.4089,96.6673,195.654,94.819,225.366,98.0284,41.6865,118.796,29.3032,37.4915,28.4795,33.932,sugar transporter ERD6-like 7 ,GO:0005351, GO:0046323, GO:0005887, GO:0016021, GO:0005886, GO:0051119, GO:0016020, GO:0055085, GO:0022857, GO:0022857, GO:0055085, GO:0016020, GO:0016020, GO:0016021, GO:0016021, GO:0008643, GO:0016021, GO:0051119, GO:0005886, GO:0016020, GO:0055085, GO:0022857, GO:0022857, GO:0055085, GO:0016020, GO:0016020, GO:0016021, GO:0016021, GO:0008643, GO:0005886, GO:0051119, GO:0016021, GO:0016020, GO:0055085, GO:0022857, GO:0022857, 
AGAP003494-RA,0.026967825,20,2,0,0,2,1,19,30,7,13,6,0,4,0,1,0,0,1,4,sugar transporter ERD6-like 7 ,GO:0005351, GO:0046323, GO:0005887, GO:0051119, GO:0016021, GO:0005886, GO:0016020, GO:0055085, GO:0022857, GO:0022857, GO:0055085, GO:0016020, GO:0016020, GO:0016021, GO:0016021, GO:0034219, GO:1902600, GO:0008643,,,,,,,,,,,,,,,,,,,
AGAP008034-RA,0.048019251,24,274,316,438,325,179,419,233,316,332,240,251,267,297,349,291,331,218,311,"solute carrier family 39 (zinc transporter), member 7 ",GO:0005385, GO:0006882, GO:0071577, GO:0046873, GO:0016021, GO:0016020, GO:0055085, GO:0030001, GO:0046873, GO:0030001, GO:0055085, GO:0016020, GO:0016020, GO:0016021, GO:0005623,,,,,,,,,,,,,,,,,,,,,,
AGAP002858-RE,0.006235544,24,5608.08,6123.78,9282.72,5757.08,3670.55,8931.42,6902.46,8171.9,10408.8,5928.68,4410.59,6263.74,4607.62,4166.49,5132.08,6767.8,3967.65,5893.15,Sodium/potassium-transporting ATPase subunit alpha [Source:UniProtKB/TrEMBL;Acc:F5HKJ1] ,GO:0005391, GO:0030007, GO:0036376, GO:1990573, GO:1902600, GO:0006883, GO:0005391, GO:0006883, GO:0030007, GO:0036376, GO:1902600, GO:1990573, GO:0008556, GO:0005886, GO:0005524, GO:0016021, GO:0046872, GO:0000166, GO:0006813, GO:0016887, GO:0005215, GO:0000166, GO:0000166, GO:0005524, GO:0005524, GO:0008556, GO:0046872, GO:0006811, GO:0006813, GO:0006813, GO:0071805, GO:0016020, GO:0016021, GO:0016021, GO:0005524, GO:0046872, 
AGAP005543-RA,0.029078823,8,2568,2547,3375,5954,3481,6897,3899,4631,4883,5540,5100,4275,5200,4239,3553,5014,2833,3373,syntaxin 7 ,GO:0005484, GO:0006886, GO:0016021, GO:0000149, GO:0006906, GO:0012505, GO:0031201, GO:0048278, GO:0008021, GO:0000149, GO:0005484, GO:0006886, GO:0006906, GO:0048278, GO:0008021, GO:0012505, GO:0016021, GO:0031201, GO:0016192, GO:0016020, GO:0016192, GO:0016020, GO:0016020, GO:0016021,,,,,,,,,,,,,
AGAP002862-RA,0.017446449,24,329.725,426.453,656.453,280.073,200.821,559.203,299.604,391.684,473.588,1009.89,651.114,950.977,847.089,796.43,698.817,1081.75,658.014,715.927,cytochrome P450 ,GO:0005506, GO:0016705, GO:0020037, GO:0004497, GO:0016021, GO:0004497, GO:0005506, GO:0016491, GO:0016705, GO:0020037, GO:0046872, GO:0055114, GO:0055114, GO:0016020, GO:0016021,,,,,,,,,,,,,,,,,,,,,,
AGAP013071-RA,0.037253837,20,64,101.571,134.81,43.0632,50.144,75.6037,58.9877,49.05,102.424,62.3695,57.2669,59.0139,182.616,124.81,137.646,118.428,94.3963,91.2291,Stearoyl-CoA desaturase 5 ,GO:0005506, GO:0005789, GO:0004768, GO:0006636, GO:0004768, GO:0005506, GO:0006636, GO:0005789, GO:0016021, GO:0016717, GO:0006629, GO:0016491, GO:0016717, GO:0006629, GO:0006633, GO:0055114, GO:0055114, GO:0016020, GO:0016021,,,,,,,,,,,,,,,,,,
AGAP006082-RA,0.004735301,16,48,41,74,62,44,116,89,98,110,122,111,92,32,58,19,120,57,66,unspecified product ,GO:0005506, GO:0020037, GO:0016705, GO:0004497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP005656-RA,0.008053382,24,40,98,126,67,58,155,89,112,76,13,14,9,23,33,9,37,48,39,cytochrome P450 ,GO:0005506, GO:0020037, GO:0016705, GO:0004497, GO:0004497, GO:0005506, GO:0016491, GO:0016705, GO:0020037, GO:0046872, GO:0055114, GO:0055114,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP002195-RA,3.66E-04,20,10,16,17,34,34,45,13,30.8226,19.7317,12.8939,12,12,0,10,3,15,16,17,cytochrome P450 ,GO:0005506, GO:0020037, GO:0004497, GO:0016705, GO:0004497, GO:0005506, GO:0016491, GO:0016705, GO:0020037, GO:0046872, GO:0055114, GO:0055114,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP010347-RA,0.037253837,20,2893.82,2994.74,4448.14,3744.81,1995.51,4269.24,2742.62,3101.75,3456.12,2780.85,2517.91,2964.66,4073.36,3601.57,2896.89,4963.91,3203.74,4413.09,copper-zinc superoxide dismutase 3 ,GO:0005507, GO:0004784, GO:0019430, GO:0004784, GO:0005507, GO:0019430, GO:0005576, GO:0005615, GO:0006801, GO:0046872, GO:0046872, GO:0006801, GO:0046872, GO:0004784, GO:0006801, GO:0004784, GO:0046872, GO:0006801, GO:0019430, GO:0055114, GO:0004784, GO:0016491, GO:0046872, GO:0055114,,,,,,,,,,,,,
AGAP005234-RA,8.74E-05,24,2902.24,3236.94,4229.47,4067.75,3047.76,5384.16,2537.56,3119.91,3451.06,1745.69,1538.79,1222.57,1946.52,1989.46,1525.57,3688.57,2212.64,2316.68,copper-zinc superoxide dismutase 2 ,GO:0005507, GO:0019430, GO:0004784, GO:0004784, GO:0005507, GO:0019430, GO:0005576, GO:0005615, GO:0006801, GO:0046872, GO:0004784, GO:0004784, GO:0016491, GO:0046872, GO:0046872, GO:0006801, GO:0019430, GO:0055114, GO:0055114, GO:0006801, GO:0046872, GO:0004784, GO:0004784, GO:0016491, GO:0046872, GO:0046872, GO:0006801, GO:0019430, GO:0055114, GO:0055114, GO:0004784,,,,,,
AGAP010957-RA,0.01040207,24,33711,36222.7,54089.4,44843.3,27986.6,56472.5,40839,54551.4,64402.8,58152.8,47938,49371,46233.9,40306.4,46094,55999.1,29813.6,45411,calmodulin ,GO:0005509, GO:0030234, GO:0000226, GO:0019722, GO:0019722, GO:0005509, GO:0005509, GO:0046872, GO:0019722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP000927-RA,0.029078823,20,2732,3059,4105,3995,2659,5106,3776,4854,4887,5142,4475,4753,4693,4342,3887,5211,3760,4328,"myosin regulatory light chain, invertebrate ",GO:0005509, GO:0005509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP010007-RA,0.008053382,20,988,1141,1458,1002,880,1440,1036,1304,1292,1109,988,977,1145,1299,1019,1715,1137,1349,coiled-coil domain-containing protein 47 ,GO:0005509, GO:0005783, GO:0005509, GO:0005783, GO:0016021, GO:0005509, GO:0005783, GO:0032469, GO:0030867, GO:0036503,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP007248-RA,0.037253837,20,785.703,931.494,1035.78,798.33,643.817,1043.39,795.814,944.828,1163.63,1199.2,1116.27,1044.98,1002,980.63,1181.61,1053.51,640.198,837.571,neuronal calcium sensor 2 ,GO:0005509, GO:0005509, GO:0005509, GO:0005509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP003790-RB,0.029078823,20,439.923,519.784,775.942,685.645,495.59,1328.23,770.301,944.659,1046.06,983.82,711.54,1016.97,958.468,718.304,652.745,1086.15,688.327,849.048,annexin B9 ,GO:0005509, GO:0005737, GO:0005544, GO:0005509, GO:0005509, GO:0005544, GO:0005544, GO:0005509, GO:0005544, GO:0005509, GO:0005544, GO:0005544, GO:0005544, GO:0005509, GO:0005509, GO:0005544, GO:0005544, GO:0005544, GO:0005509, GO:0005509, GO:0005544, GO:0005544, GO:0005544, GO:0005509, GO:0005509, GO:0005544, GO:0005544,,,,,,,,,,
AGAP003790-RE,0.037253837,20,554.996,627.956,891.846,868.382,415.865,1029.4,787.942,967.835,1071.28,1046.18,759.633,846.603,929.899,613.72,556.15,969.397,659.783,788.217,annexin B9 ,GO:0005509, GO:0005737, GO:0005544, GO:0005509, GO:0005509, GO:0005544, GO:0005544, GO:0005509, GO:0005544, GO:0005509, GO:0005544, GO:0005544, GO:0005544, GO:0005509, GO:0005509, GO:0005544, GO:0005544, GO:0005544, GO:0005509, GO:0005509, GO:0005544, GO:0005544, GO:0005544, GO:0005509, GO:0005509, GO:0005544, GO:0005544,,,,,,,,,,
AGAP007968-RA,0.001007748,20,595.354,802.018,834.884,974.888,670.86,1081.4,691.977,973.561,790.4,521.844,690.52,615.541,670.357,638.816,744.825,914.52,695.148,835.588,cysteine-rich with EGF-like domain protein 2 ,GO:0005509, GO:0071840, GO:0030154, GO:0009653, GO:0005509, GO:0005509, GO:0071840, GO:0030154, GO:0009653, GO:0005509,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP007666-RA,0.01040207,20,489,624,1060,735,357,983,532,841,970,594,549,535,556,535,562,962,565,871,calcyphosin-like protein ,GO:0005509, GO:0005509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP005713-RA,0.013521275,20,490,631,734.912,473.911,391.593,606.632,600.271,725,851.37,788.437,764.122,616.894,855.987,710.006,737.237,767.713,550,583.285,unspecified product ,GO:0005509, GO:0005509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP008822-RA,0.037253837,20,353,382,702,580,326,1146,432,595,710,458,402,567,490,498,393,537,462,677,FK506-binding protein 14 ,GO:0005509, GO:0003755, GO:0005783, GO:0003755, GO:0003755, GO:0005509, GO:0016853, GO:0000413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP004258-RB,0.02253974,16,182.045,300,445,153.985,149,337,254,467,513,586,550,488,284,309,356,460,267,307,unspecified product ,GO:0005509, GO:0005509, GO:0005509, GO:0005509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP004629-RA,0.029078823,20,175,178,212,270,199,339,177,257,331,344,244,275,235,194,157,293,200,239,unspecified product ,GO:0005509, GO:0030234, GO:0005509, GO:0030234, GO:0000226, GO:0019722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP007806-RB,0.006235544,24,110.371,169.936,256.587,108.361,77.4371,198.316,148.953,313.89,206.277,413.633,259.533,372.544,389.821,273.366,276.062,250.871,234.869,247.875,"myosin light chain, invertebrate ",GO:0005509, GO:0005509, GO:0005509, GO:0005509, GO:0005509, GO:0005509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP007489-RA,0.029078823,20,164.713,260.327,282.389,73.4576,87.6963,204.516,106.901,164.702,83.1124,163.81,125.649,108.091,276.183,277.407,184.973,177.013,125.731,209.821,unspecified product ,GO:0005509, GO:0005515, GO:0005509, GO:0005509, GO:0005515, GO:0005509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP002145-RA,1.17E-04,24,2075,2150,2994,3205,1966,4553,6187,8437,8944,12598,12809,11133,7335,7759,8762,6522,3346,5235,inactivation no afterpotential D protein ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP006721-RB,8.74E-05,24,2949.75,3595.83,4549.42,1214.24,737.37,1488.31,671.407,974,620.645,575.694,516.504,344.239,633.091,921.849,974.552,1608.35,1872.8,1072.1,unspecified product ,GO:0005515, GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP028215-RA,0.013521275,24,976,1350,1486,969,608,1363,1030,1603,1457,1484,1499,1194,1786,1692,1636,1916,1162,1390,unspecified product ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP010677-RA,0.002630204,20,913,1123,1391,679,545,1035,753,1095,1026,1151,1035,838,1801,1601,2053,1838,987,1144,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7QE32] ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP011814-RA,0.017446449,24,766,913,1044,924,774,1193,931,1410,1175,1258,1191,1134,1093,1283,1090,1303,821,996,"guanine nucleotide binding protein (G protein), beta polypeptide 1-like ",GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP004310-RA,0.008053382,20,812.059,1064.38,1311.67,648.279,532.015,1034.66,795.944,1098.43,1152.71,1099.25,1097.59,813.816,1358.57,1295.4,1476.22,1362.65,993.008,1170.69,unspecified product ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP006993-RA,7.41E-04,24,916,1236,1948,737,580,1517,583,1011,1153,439,399,410,673,762,1058,1520,847,1162,Leucine rich repeat containing 40 ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP001747-RA,0.001007748,24,493,593,764,533,302,567,544,660,729,1038,1030,702,1286,1486,1426,1380,928,1152,Ubiquitin domain-containing protein ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP001716-RA,0.001007748,24,376,725,901,311,241,437,441,490,608,834,714,455,1196,1304,1478,1646,1115,1121,tubby ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP029903-RA,0.017446449,16,624,712,1104,599,538,990,541,773,703,682,637,656,971,879,838,1140,739,872,UBX domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7PP13] ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP012059-RA,0.004735301,24,407,594,881,545,413,1006,627,1025,919,862,789,811,842,758,777,847,476,586,unspecified product ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP012006-RA,0.02253974,20,471,735,844,470,327,674,497,810,885,878,933,676,852,849,1098,855,629,586,Protein phosphatase 1 regulatory subunit 16A [Source:UniProtKB/TrEMBL;Acc:A0A1S4H860] ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP007674-RB,0.001007748,24,436.447,556.977,748.017,609.626,360.308,901.492,787.378,1265.49,1337.51,909.552,714.895,835.415,359,381.289,374.385,643.535,294.65,473.028,"GIPC PDZ domain containing family, member 2 ",GO:0005515, GO:0005515, GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP006605-RA,0.004735301,20,381,457,706,296,276,481,459,589,624,891,880,524,694,859,997,783,405,515,unspecified product ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP006473-RA,0.008053382,24,217,594,596,178,232,471.83,349,569,481,483.799,628,480,823,702,705,822,724,637,caspar ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
